artist_uri,artist,artist_popularity,artist_followers,major_label,genre_pop,genre_screen,genre_hiphop,genre_punk,genre_blues,genre_country,genre_rnb,genre_rock,genre_latin,genre_dance,genre_indie,genre_elect,genre_gospel,genre_chill
7sfl4Xt5KmfyDs2T3SVSMK,Lil Jon,72,1303720,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
7sfgqEdoeBTjd8lQsPT3Cy,Emeli Sande,63,2175203,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
7sbNNaQTulMUEWxL5aDTiT,Steel Magnolia,21,13897,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7sKxqpSqbIzphAKAhrqvlf,Walker Hayes,67,477682,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
7sHWvTWufU865WrWckjyE0,DJ Felli Fel,44,23231,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7rtM2wPKQlFpsm0C4qJlDk,Kendra Morris,38,20531,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7rkW85dBwwrJtlHRDkJDAC,NAV,74,2982546,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7rPQ2z1ji1ctJ6oGYBAo6M,Emily Osment,44,671696,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7rH8vpDNenEoyRm1NDJWzW,X-RX,29,24871,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
7r8xR0LmnaAM623MmRDn1V,Max Frost,50,108925,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
7r8RF1tN2A4CiGEplkp1oP,Ginuwine,66,2188964,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
7r2uG6BlFXKcwmh9ItqlII,Wrabel,62,214522,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
7qvsLYsYP0MHD7jkdv6DAG,Sara Evans,55,1003473,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
7qevodTHcV0rtg9O7ih6nn,Louis Mattrs,40,17238,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7qVyaRDqZ0T20SW7l1VzMX,Nick Martin,36,7439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,75,10784048,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
7qDUWeBzKcDnh15yhYBf2U,Reeve Carney,51,11006,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7qBlQ816l6kapy0iAGmDI7,"George Tandy, Jr.",13,4400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7qAcXJgt1PWnxwUgxMdyuk,Sick Puppies,58,803493,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
7pyhre5oEEFMqcgMEvJY7q,Sky Ferreira,55,508359,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0
7pwufEBGfggjoI8twqlsmQ,Nessa Barrett,63,716961,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7pwThElmrxl0pjTwXMojCx,Assemblage 23,32,54510,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
7pfZnHTXD8eEUVQdDfPKwN,Benny Berigan,18,3279,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
7pbDxGE6nQSZVfiFdq9lOL,Rex Orange County,77,4079322,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7pGyQZx9thVa8GxMBeXscB,K'Naan,61,184811,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7pFeBzX627ff0VnN6bxPR4,Desiigner,63,3383705,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7opRqRgF9lvnVraBFCMvIj,Groove Theory,46,152207,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7omzannyG2lfDqP5xyZo34,Joshua Radin,55,373567,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0
7okwEbXzyT2VffBmyQBWLz,Mana,75,8006530,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
7okSU80WTrn4LXlyXYbX3P,Clinton Kane,68,753333,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7ohSq6OUvkH1hkslgXfGMi,The Deele,42,137333,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
7oT6vt8H3q7kA24sicjFzO,Man Overboard,36,104716,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
7oPftvlwr6VrsViSDV7fJY,Green Day,77,13384403,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
