billboard,billboard_year,billboard_date,peak_position,weeks_on_chart,artist,feat_artist,artist_uri,artist_popularity,artist_followers,artist_genre,song,track_uri,track_popularity,album_name,release_date,release_year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,-,-,-,-,Snoop Dogg,-,7hJcb9fa4alzcOq3EaNPoG,81,8325363,"g funk, gangster rap, hip hop, rap, west coast rap",House Shoes,0YHkofyjDByjcVv8ryHH6B,25,More Malice,3/23/2010,2010,185066,0.649,0.367,1,-8.458,1,0.313,0.0158,0,0.143,0.212,105.036,5
1,2010,1/16/2010,41,15,Snoop Dogg,-,7hJcb9fa4alzcOq3EaNPoG,81,8325363,"g funk, gangster rap, hip hop, rap, west coast rap",I Wanna Rock,3vNiHPIipR4a4bZKA288CD,42,Malice 'N Wonderland,12/8/2009,2009,235986,0.521,0.849,5,-3.238,1,0.318,0.168,0,0.289,0.431,122.852,5
0,-,-,-,-,Snoop Dogg,Curren$y,7hJcb9fa4alzcOq3EaNPoG,81,8325363,"g funk, gangster rap, hip hop, rap, west coast rap",OG,2inWC24apqzXIoEVsAEfiR,36,Mac and Devin Go to High School (Music from and Inspired by the Movie),12/12/2011,2011,298146,0.57,0.789,2,-4.797,1,0.168,0.288,0,0.132,0.362,148.253,4
1,2008,1/5/2008,7,20,Snoop Dogg,-,7hJcb9fa4alzcOq3EaNPoG,81,8325363,"g funk, gangster rap, hip hop, rap, west coast rap",Sensual Seduction,1wva1IlWLDNLgwipUWcmjy,56,Sensual Seduction,11/20/2007,2007,245520,0.756,0.829,11,-3.973,1,0.0682,0.003,3.46E-05,0.0578,0.504,120.163,4
0,-,-,-,-,Snoop Dogg,Juicy J,7hJcb9fa4alzcOq3EaNPoG,81,8325363,"g funk, gangster rap, hip hop, rap, west coast rap",Smokin' On,7bGX4GBapXgYB9FqW7G61r,37,Mac and Devin Go to High School (Music from and Inspired by the Movie),12/12/2011,2011,265093,0.722,0.754,1,-6.517,1,0.158,0.00629,0,0.348,0.387,137.028,4
0,-,-,-,-,Snoop Dogg,-,7hJcb9fa4alzcOq3EaNPoG,81,8325363,"g funk, gangster rap, hip hop, rap, west coast rap",So Gangsta,6a0Wr4E1DhBF9RFfo5eQyy,23,More Malice,3/23/2010,2010,227560,0.821,0.536,11,-6.344,1,0.126,0.255,2.45E-06,0.106,0.502,93.985,4
0,-,-,-,-,Snoop Dogg,-,7hJcb9fa4alzcOq3EaNPoG,81,8325363,"g funk, gangster rap, hip hop, rap, west coast rap",Stoner's Anthem,0RKGs1gRTzdyP6bjEAIewX,36,Stoner's EP,4/17/2012,2012,235861,0.685,0.527,0,-12.214,1,0.216,0.59,3.65E-06,0.301,0.486,92.699,4
0,-,-,-,-,Snoop Dogg,-,7hJcb9fa4alzcOq3EaNPoG,81,8325363,"g funk, gangster rap, hip hop, rap, west coast rap",Sweat ,7LpT54RUvN0IvDGIxiwHwS,0,Nothing but the Beat (Ultimate Edition),12/7/2012,2012,196453,0.822,0.749,7,-5.563,1,0.0285,0.0697,0.000273,0.0732,0.707,130.005,4
0,-,-,-,-,Snoop Dogg,-,7hJcb9fa4alzcOq3EaNPoG,81,8325363,"g funk, gangster rap, hip hop, rap, west coast rap",Talent Show,7rACnijOsrC3XVHjnHyj04,33,Mac and Devin Go to High School (Music from and Inspired by the Movie),12/12/2011,2011,275426,0.583,0.886,1,-5.277,1,0.373,0.0772,0,0.467,0.7,79.712,4
0,-,-,-,-,Snoop Dogg,-,7hJcb9fa4alzcOq3EaNPoG,81,8325363,"g funk, gangster rap, hip hop, rap, west coast rap",That Good,1E9hKwf94dY92BYNBp9Z7O,35,Mac and Devin Go to High School (Music from and Inspired by the Movie),12/12/2011,2011,228733,0.544,0.701,9,-6.479,1,0.249,0.0213,0,0.143,0.227,180.226,4
1,2012,1/14/2012,7,32,Snoop Dogg,"Bruno Mars, Juice WRLD",7hJcb9fa4alzcOq3EaNPoG,81,8325363,"g funk, gangster rap, hip hop, rap, west coast rap","Young, Wild & Free",6YbhspuOar1D9WSSnfe7ds,68,Mac and Devin Go to High School (Music from and Inspired by the Movie),12/12/2011,2011,207346,0.553,0.652,0,-6.685,1,0.206,0.0897,0,0.111,0.551,94.505,4
1,2014,11/22/2014,93,3,Snootie Wild,K Camp,1YXg2Chm7UfZAUAkjJEpqK,36,188320,"['memphis hip hop', 'trap']",Made Me,44DNRbTlkVXL80mZa2XwZl,43,Go Mode,9/19/2014,2014,194746,0.856,0.719,10,-6.519,0,0.0746,0.0389,9.03E-06,0.0935,0.37,146.032,4
1,2012,1/28/2012,78,1,Snow Patrol,-,3rIZMv9rysU7JkLzEaC5Jp,66,2599344,"['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock']",Called Out In The Dark,4BBt0kc625eUAdG2XpWPHm,45,Fallen Empires,9/2/2011,2011,241933,0.726,0.712,0,-4.68,1,0.0313,0.0175,1.07E-05,0.0826,0.961,120.003,4
0,-,-,-,-,Snow Patrol,-,3rIZMv9rysU7JkLzEaC5Jp,66,2599344,"['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock']",Just Say Yes,4k7P2LIQco8YCVbIZl1vZB,61,Up To Now,10/23/2009,2009,281346,0.54,0.887,9,-5.518,1,0.0324,0.0187,3.19E-05,0.0275,0.255,108.02,4
1,2010,1/30/2010,54,5,Snow Patrol,Martha Wainwright,3rIZMv9rysU7JkLzEaC5Jp,66,2599344,"['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock']",Set The Fire To The Third Bar,4kg5hAOumbLtNSg6J8aq8e,48,Eyes Open,1/1/2006,2006,203613,0.535,0.379,11,-7.059,0,0.0256,0.518,0,0.0842,0.385,96.02,4
